reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did,palavras_encontradas,contagem_palavras
at://did:plc:zsokwssn47swv5su7ine2tpp/app.bsky.feed.post/3l5qerg3p3g2o,bafyreiaz4lqglfq5dafnulrxh6m3ybtouhwv2cgizxst2c4io7zefmrvcu,at://did:plc:gpunjjgvlyb4racypz3yfiq4/app.bsky.feed.post/3l5qe5oj7um2v,"Circulando em grupos algumas análises sustentando que a suposta remoção do conteúdo pela Meta seria, na verdade, forjada por Marçal para se vitimizar (“fui vítima de censura”); no lugar, ele teria apagado o post. Reparem que o print aparece como dia 5, enquanto a postagem foi feita ainda no dia 4",jnascim.info,Doente e criminoso #LamaçalNaCadeia,2024-10-05T03:50:03Z,0,0,1,2024-10-05T03:50:03Z,andrelezan.bsky.social,André Lezan,did:plc:zsokwssn47swv5su7ine2tpp,Doente,1
at://did:plc:dzcmwripvh7etsik7rrivrqn/app.bsky.feed.post/3l5324cgm3g26,bafyreig43hhymt6zhjm25kcdxpgk2c6voqcomyl2dyy2hhp5pkwg2o7p3m,at://did:plc:bvdczzyaip2klzg5lcxqnxms/app.bsky.feed.post/3l52zdgtycp2e,"Com a conivência da ONU, EUA e outros países, o estado genocida de Israel segue assassinando inocentes. Dessa vez as vítimas foram o adolescente Ali Kamal Abdallah, de 15 anos, e o pai dele, Haj Kamal Abdallah, que é paraguaio, e foram atingidos por um foguete na cidade de Kelya.",lazarorosa.bsky.social,"Nem Lúcifer é tão ruim que nem esse Nataniahu, fdp. Aliás, @lucifer tá por aqui?",2024-09-26T16:13:24Z,1,0,5,2024-09-26T16:13:23Z,marciocarr.bsky.social,Márcio Carreiro,did:plc:dzcmwripvh7etsik7rrivrqn,fdp,1
at://did:plc:h2tsorgucthlixkpiolp73qp/app.bsky.feed.post/3l4qtilsgza22,bafyreigljsrnzlpq6cyduhcufator3es4f4j5frgfjsldekusi6g24c2ly,at://did:plc:76tjhdex36ybsa2smmsphk4e/app.bsky.feed.post/3l4qqej5aap26,Esse movimento BolsoNunes me lembra muito a onda BolsoDória em SP. O final é triste demais,xicosa.bsky.social,"Verdade, porém reparei no último debate q o Nunes só citava o Tarcísio.",2024-09-22T14:48:22Z,0,0,9,2024-09-22T14:48:21Z,janivalverd1313.bsky.social,Jani valverd🦋🫰🏻♥️⭐🚩🚩,did:plc:h2tsorgucthlixkpiolp73qp,Verdade,1
at://did:plc:4q55tkmbtpxxkp5jwxluzvrv/app.bsky.feed.post/3l4qtmn7esk2x,bafyreibqrxaz5vpm5wm6ouoo6fxfy2w7ox3uif5ieqkxvbaravr6qcwo24,at://did:plc:76tjhdex36ybsa2smmsphk4e/app.bsky.feed.post/3l4qqej5aap26,Esse movimento BolsoNunes me lembra muito a onda BolsoDória em SP. O final é triste demais,xicosa.bsky.social,"Verdade. Eu tô pasma, pois as pessoas não aprendem e insistem nos erros.",2024-09-22T14:50:37Z,0,0,0,2024-09-22T14:50:37Z,marrc17.bsky.social,Eu só sei que sei que nada sei,did:plc:4q55tkmbtpxxkp5jwxluzvrv,Verdade,1
at://did:plc:u5sclzxxx3rebqx5ajgmfntx/app.bsky.feed.post/3l4kbi4clck2t,bafyreie5tdwyx2cf6xewrys7u75xgwccyyph6f4rgwefiur3svfyqm3hp4,at://did:plc:sakbixt6zv7eylziieml23pr/app.bsky.feed.post/3l4jpvbhshr2n,"Parabéns, Edi Rock.",calejon.bsky.social,"Ele podia fazer uma propaganda política com um trecho da música ""da ponte pra cá""

""Nas ruas de morma eles me chamam de Marçal 
Maldito, vagabundo, mente criminal""

Fazendo alusão a época q ele roubava aposentadoria de idosos",2024-09-20T00:10:00Z,0,0,1,2024-09-20T00:09:59Z,kauesccp.bsky.social,NA,did:plc:u5sclzxxx3rebqx5ajgmfntx,Maldito,1
at://did:plc:zf5jvfv756ngdf7bnmyrxkj2/app.bsky.feed.post/3l3v3qq2ok62l,bafyreid5g5p4ys4cjxyivgmlzc5cktgxmg46qjupf6kufdx6qx4lu4jshu,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l3ux2qse652v,"Bom dia com notícia boa, gente!

Nova pesquisa AtlasIntel confirma: seguimos na liderança, com 28% das intenções de voto.

Vamos em frente com coragem e esperança para melhorar nossa cidade e cuidar do nosso povo. Vamo pra cima!",guilhermeboulos.bsky.social,"Precisamos do Boulos do Velho Testamento. Você pode perder para o Lamaçal de bobeira, então faça um vídeo inpactante igual a Tabata fez.",2024-09-11T14:01:32Z,0,0,0,2024-09-11T14:01:32Z,luna15010.bsky.social,Luna15010,did:plc:zf5jvfv756ngdf7bnmyrxkj2,Velho,1
at://did:plc:xvtg3ewl7ajhjk75z6inybrf/app.bsky.feed.post/3l3v27ufs4x2l,bafyreihntfm5edydqhvdi6kt23ckhgjkjnw4deyjg6awc3opwsr665w7ri,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l3ux2qse652v,"Bom dia com notícia boa, gente!

Nova pesquisa AtlasIntel confirma: seguimos na liderança, com 28% das intenções de voto.

Vamos em frente com coragem e esperança para melhorar nossa cidade e cuidar do nosso povo. Vamo pra cima!",guilhermeboulos.bsky.social,Boules,2024-09-11T13:34:12Z,0,0,0,2024-09-11T13:34:12Z,ruan43.bsky.social,NA,did:plc:xvtg3ewl7ajhjk75z6inybrf,Boules,1
at://did:plc:ra6o6o4lzjtaxn4pjkyjsles/app.bsky.feed.post/3l3v2aacmmo2b,bafyreidbh54wczoqzyqlkmz6ltvvcefnmjupw4hczzqwrraueuoqumlqgi,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l3ux2qse652v,"Bom dia com notícia boa, gente!

Nova pesquisa AtlasIntel confirma: seguimos na liderança, com 28% das intenções de voto.

Vamos em frente com coragem e esperança para melhorar nossa cidade e cuidar do nosso povo. Vamo pra cima!",guilhermeboulos.bsky.social,O Homem da farinha,2024-09-11T13:34:24Z,0,0,0,2024-09-11T13:34:24Z,1006fiore.bsky.social,Lunático do Rio ☆彡☆ ≛≣,did:plc:ra6o6o4lzjtaxn4pjkyjsles,Homem,1
at://did:plc:muwfc5odsjotxjpn5ewiffu6/app.bsky.feed.post/3l3uykitrjp2u,bafyreidmjorshh6aij5vvljbj7fyecog4tjvpqjrs5udaaoj4tymccsgiq,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l3ux2qse652v,"Bom dia com notícia boa, gente!

Nova pesquisa AtlasIntel confirma: seguimos na liderança, com 28% das intenções de voto.

Vamos em frente com coragem e esperança para melhorar nossa cidade e cuidar do nosso povo. Vamo pra cima!",guilhermeboulos.bsky.social,"Mentir é feio! Invadir Propriedade privada tb!
Não te ensinaram isso em casa?!",2024-09-11T13:04:20Z,0,0,0,2024-09-11T13:04:20Z,kambrosio.bsky.social,NA,did:plc:muwfc5odsjotxjpn5ewiffu6,Invadir,1
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l3dmchsumw2x,bafyreihrovjpgtq32u2gsaq2tzrwgedyrv7m64re6x4ob3rgncnaoh7ypq,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l3dm2uurhv2o,"Enquanto o coach tenta enganar e dar golpe na população, nós que somos time Boulos prefeito temos propostas para a maior cidade da América Latina se TRANsformar na capital das LGBTI+! Segue o fio e ajude a espalhar a informação! 🧵",acarolinaiara.bsky.social,"PLANO DE AÇÃO PARA DEFENDER AS LGBTI+ EM SP 🌈

1️⃣ Auxílio aluguel para vítimas de LGBTfobia
2️⃣ Cotas Trans nas Universidades e Serviços Públicos para reduzir o ciclo de marginalização desta população
3️⃣ Políticas públicas para combater a mutilação infantil e garantir direitos das pessoas intersexo",2024-09-04T15:09:51Z,1,1,2,2024-09-04T15:09:51Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r,Trans,1
